Date,HPrice,LPrice,CPrice,NTrade
20120104,329.6,327.01,328,24
20120105,332.3,329.6,332.3,12
20120106,335.59,333.53,333.53,24
20120109,331.79,328.79,331.79,38
20120110,332.92,331.3,331.79,26
20120111,337.78,337.78,337.78,2
20120112,338.18,338.18,338.18,10
20120113,337.35,337.24,337.35,10
20120116,339.19,336.13,338.35,24
20120117,341.57,339.9,341.57,8
20120118,341.7,339.13,341.55,14
20120119,343.1,342.53,343,66
20120120,341.99,339.79,341.99,12
20120130,356,354.37,355.52,28
20120131,357,355.63,356.99,46
20120201,357.19,356.52,356.77,14
20120202,358.92,358.92,358.92,4
20120203,359.74,359.5,359.73,8
20120206,359.74,359.5,355.18,8
20120207,355.18,352.89,352.89,8
20120208,358.21,355.59,357.35,10
20120209,358.21,355.59,356.96,10
20120210,358.21,355.59,355.41,10
20120213,358.21,355.59,354.71,10
20120214,358.21,355.59,352.79,10
20120215,352.5,352.5,352.5,2
20120216,351.89,351.89,351.89,2
20120217,355.56,351.51,351.51,20
20120220,355.59,355.56,355.59,4
20120221,355.41,355.33,355.41,6
20120222,359.3,359.08,359.3,4
20120223,362.9,362.48,362.9,4
20120224,363.33,363.33,363.33,2
20120227,362.98,362.32,362.32,4
20120228,362.5,361.19,361.19,4
20120229,365.7,364.4,365.33,16
20120301,353,352,352,10
20120302,352.95,352.31,352.95,10
20120305,352.95,352.31,350.82,10
20120306,352.95,352.31,350.82,10
20120307,352.95,352.31,350.82,10
20120308,352.95,352.31,350.82,10
20120309,352.95,352.31,354.36,10
20120312,352.95,352.31,354.36,10
20120313,348.57,348.57,348.57,2
20120314,344.5,344.35,344.35,16
20120315,344.5,344.35,344.35,0
20120316,343.96,340.88,342.73,44
20120319,343.13,341.89,342.8,34
20120320,342.8,340.1,340.1,14
20120321,341.25,339.94,340.01,14
20120322,340.59,339.96,339.96,4
20120323,339.82,338.51,338.51,14
20120326,344.32,342.05,342.32,56
20120327,347.77,347.03,347.5,28
20120328,345.89,344.23,344.23,12
20120329,341.34,340.99,341.19,14
20120330,342,341.33,341.6,30
20120405,334.26,333.39,334,38
20120406,335.42,334.8,334.8,30
20120409,337.89,336.58,336.84,46
20120410,339.1,338,338.85,34
20120411,339.44,339.02,339.44,6
20120412,339.85,339.83,339.85,6
20120413,343.38,343.2,343.2,4
20120416,343.38,343.2,338.5,4
20120417,337.5,335.92,335.93,11288
20120418,337.76,336.73,337.76,11250
20120419,335.46,334.68,335.27,6154
20120420,336.38,335.11,335.87,4744
20120423,336.08,335.16,335.7,3994
20120424,335.67,334.55,334.83,3852
20120425,336.3,335.68,335.98,3018
20120426,337.29,336.02,337.25,6252
20120427,338.51,337.31,337.46,5410
20120502,339.1,337.15,337.62,2926
20120503,337.69,335.15,335.15,2126
20120504,334.76,333.58,334,2114
20120507,334.96,332,334.51,2070
20120508,334.74,333.3,333.31,1286
20120509,328.17,325.31,325.89,2764
20120510,326.6,325.4,326.29,1314
20120511,325.71,323.85,324.15,1884
20120514,324.91,317.86,322.61,1372
20120515,319.88,316.59,318.47,1838
20120516,317.2,314.23,314.23,18
20120517,319,318.25,319,8
20120518,326.64,321.53,321.53,12
20120521,329.93,328.57,328.8,18
20120522,329.93,328.57,327.7,18
20120523,321.84,318.69,320.01,20
20120524,321.6,321.6,321.6,10
20120525,322.95,319.73,322.95,8
20120528,326.43,324.26,326.43,4
20120529,326.51,325.34,326.51,22
20120530,321.65,321.65,321.65,2
20120531,321.65,321.65,324.35,2
20120601,322.05,321.11,321.8,40
20120604,334.85,331,333.3,88
20120605,333.51,331.89,331.89,42
20120606,334.4,333,333.98,12
20120607,332.19,331.28,331.85,12
20120608,327.09,321,323.3,72
20120611,327.09,321,323.3,72
20120612,326.6,324.62,326.49,8
20120613,329.61,329.55,329.61,4
20120614,332.1,330.81,332.1,8
20120615,332.1,330.81,332.1,8
20120618,333.2,332.2,332.2,4
20120619,334,334,334,4
20120620,334,334,332.19,4
20120621,328.12,328.12,328.12,2
20120625,323.78,323.78,323.78,4
20120626,325.36,324.67,324.67,18
20120627,323.23,322.08,322.08,10
20120628,323.55,323.2,323.5,30
20120629,323,320.41,323,16
20120702,326.6,326.38,326.6,8
20120703,328.99,327.2,328.99,16
20120704,331.69,330.75,330.75,14
20120705,330.7,330.2,330.2,8
20120706,329.2,327.99,328,20
20120709,324.78,324.78,324.78,2
20120710,325.46,324.55,324.55,4
20120711,326.23,322.19,323.5,38
20120712,326.23,322.19,323.5,38
20120713,322.1,322.1,322.1,2
20120716,326.3,325.6,325.6,4
20120717,327.98,326.9,327.98,20
20120718,325.43,324.01,324.77,30
20120719,325.69,324.63,324.97,14
20120720,325.6,325,325.27,32
20120723,325.29,324.59,324.99,16
20120724,325.06,324.63,324.63,10
20120725,326.77,325.34,326.02,20
20120726,330.25,329.07,330.25,24
20120727,332.23,330.51,332.23,38
20120730,332.71,331.26,331.26,40
20120731,333.36,332.97,333.11,28
20120801,330.47,330.47,330.47,4
20120802,329,328.5,329,18
20120803,327.19,326.8,326.8,8
20120806,330.28,329.62,330.28,16
20120807,330.17,329.96,330.17,6
20120808,332.42,329.34,329.99,16
20120809,330.71,329.87,329.87,8
20120810,330.31,329.12,330.04,54
20120813,332.73,330.79,330.79,32
20120814,329.99,329.22,329.99,4
20120815,329.99,329.22,329.99,4
20120816,329.99,329.22,326.98,4
20120817,329.99,329.22,330.08,4
20120820,329.99,329.22,330.08,4
20120821,333.2,331.99,333.2,8
20120822,335.65,335.65,335.65,2
20120823,342.4,335.65,342.28,50
20120824,341.65,341.21,341.21,18
20120827,345.92,343.83,343.92,8
20120828,340.59,339.8,340.59,6
20120829,342.5,341.8,342.5,30
20120830,340.66,336.38,340.66,8
20120831,340.3,340.3,340.3,4
20120903,348.83,345.91,345.91,8
20120904,347.34,347.33,347.33,4
20120905,347.34,347.33,347.33,4
20120906,350,349,350,4
20120907,347.22,344.8,344.8,6
20120910,353.79,353.79,353.79,2
20120911,355,351.79,351.8,32
20120912,353.81,353.74,353.8,10
20120913,353.81,353.74,352,10
20120914,362.16,358.33,362.16,12
20120917,361.3,361.3,361.3,2
20120918,359.61,357.43,359.46,6
20120919,363.3,363.3,363.3,2
20120920,360.82,360.82,360.82,2
20120921,360.82,360.82,360.38,2
20120924,358.12,355.52,357.52,6
20120925,358.61,358.61,358.61,8
20120926,358.8,358.5,358.8,6
20120927,357.89,356.99,357.89,10
20120928,357.89,356.99,357.27,10
20121008,357.89,356.99,357.31,10
20121009,360.67,360,360.3,30
20121010,357.13,357.02,357.13,4
20121011,358,357.98,358,6
20121012,363.27,354.11,358.4,68
20121015,363.27,354.11,358.45,68
20121016,353.75,352.29,353.61,26182
20121017,356.08,354.75,354.8,29338
20121018,355.3,354.12,354.46,25400
20121019,353.3,350.53,351.67,30012
20121022,350.1,348.51,350.09,19380
20121023,350.68,349.02,349.7,27262
20121024,349.2,344.43,347.3,36934
20121025,348.33,345.8,347.7,41728
20121026,347.9,344.23,345,33532
20121029,348.4,346.54,347.57,32072
20121030,347.28,346.24,347.28,28720
20121031,347.83,346.85,347.27,20528
20121101,348.87,347.5,348.4,20214
20121102,347.35,343.18,345.11,12746
20121105,340.08,338.85,339.18,11842
20121106,341.01,339.6,340.82,7548
20121107,348.32,344.07,348.04,11538
20121108,348,345.5,346.5,6014
20121109,350,348.9,349.8,5104
20121112,350.5,348.4,348.61,2264
20121113,346.95,345.6,346.42,3574
20121114,356.48,346.42,347.6,4366
20121115,347.81,345.85,346.88,2756
20121116,346.75,346,346,200
20121119,348.49,347.8,348,54
20121120,350.21,349.59,349.61,54
20121121,347.9,347.9,347.9,2
20121122,349.83,348.77,348.77,72
20121123,348.8,348.39,348.64,54
20121126,352.18,350,350.38,180
20121127,352.58,350.82,350.92,114
20121128,348.97,347.33,348.27,86
20121129,345.39,344.08,345.13,100
20121130,348.58,345.28,346.84,334
20121203,344.66,343.1,344.66,78
20121204,343.43,340.04,341.57,82
20121205,342.39,339.74,342.39,54
20121206,340.87,339.02,339.42,44
20121207,342.32,341.33,341.85,40
20121210,342.97,341.85,342.88,20
20121211,342.76,342.29,342.4,52
20121212,343.42,342.83,343.4,16
20121213,341.56,339.56,340.27,34
20121214,341.49,340.3,341,56
20121217,341,338.96,339.56,82
20121218,344.93,343.61,344.93,18
20121219,339,337.39,338.79,14
20121220,338.39,336.97,337,26
20121221,332.52,332.52,332.52,2
20121224,332.52,332.52,335.07,2
20121225,336.02,333.2,335.12,12
20121226,336.02,333.2,334.75,12
20121227,336.02,333.2,334.75,12
20121228,337.45,335.95,336.65,12
20121231,335.47,333.93,335.29,92
20130104,331.93,331.28,331.93,4
20130107,334.69,333.24,333.62,10
20130108,331.89,331.49,331.59,40
20130109,333.61,333.61,333.61,6
20130110,333.7,332.49,333.7,26
20130111,335.97,335.97,335.97,2
20130114,334.4,333.88,334.02,8
20130115,335.08,334.91,335.08,24
20130116,338.75,337.49,337.49,10
20130117,338.75,337.49,338.28,10
20130118,339.5,338.17,338.93,58
20130121,339.84,338.61,339.03,94
20130122,340,339.54,340,10
20130123,340.5,340,340.22,24
20130124,338,338,338,4
20130125,335.78,334.92,335.78,16
20130128,335.08,334.01,334.31,28
20130129,336.1,335,336,16
20130130,337,336.06,337,38
20130131,339.15,339,339,6
20130201,335.82,333.94,335.82,18
20130204,335.82,335.82,335.82,6
20130205,337.16,337.16,337.16,2
20130206,337.2,337.2,337.2,2
20130207,337.2,337.2,337.2,2
20130208,337.2,337.2,337.2,2
20130218,327.36,326.08,326.85,14
20130219,328,327.23,327.66,8
20130220,327.23,321.21,327,6
20130221,319.92,319.92,319.92,2
20130222,322.53,321.56,321.77,14
20130225,322.53,321.56,322.46,14
20130226,324.13,321.9,321.9,6
20130227,325.08,325.08,325.08,2
20130228,325.08,325.08,321.79,2
20130301,322.15,321.89,322.15,12
20130304,322.15,321.89,318.18,12
20130305,322.15,321.89,318.18,12
20130306,322.15,321.89,318.28,12
20130307,322.15,321.89,318.28,12
20130308,322.15,321.89,318.28,12
20130311,322.15,321.89,318.68,12
20130312,322.15,321.89,318.68,12
20130313,322.15,321.89,318.68,12
20130314,320.98,320.97,320.97,8
20130315,320.98,320.97,320.97,8
20130318,322.78,322.26,322.26,4
20130319,322.78,322.26,322.52,4
20130320,325.47,325.47,325.47,2
20130321,324.59,324.59,324.59,8
20130322,324.59,324.59,324.59,8
20130325,324.59,323.64,323.64,8
20130326,323.57,323.57,323.57,2
20130327,323.57,323.57,323.08,2
20130328,322.59,322.59,322.59,4
20130329,320.72,320.6,320.72,22
20130401,322.86,320.62,322.86,66
20130402,323.23,321.62,322.38,26
20130403,314.04,314.04,314.04,2
20130408,318.84,316.62,317.77,52
20130409,316.91,316.91,316.91,6
20130410,318.47,317.3,318.32,62
20130411,313.76,312.37,312.49,20
20130412,312.6,312.6,312.6,10
20130415,312.6,312.6,312.6,10
20130416,277.3,275.03,276.38,74334
20130417,277.09,272.84,275.09,107104
20130418,276.42,264.59,275.78,157854
20130419,285.01,275.92,282.28,121000
20130422,284.6,282.38,282.7,82736
20130423,284.46,279.32,281.14,88074
20130424,285.98,282.03,284.8,59362
20130425,289.46,285.55,288.76,48300
20130426,298.88,293.97,294.68,50680
20130502,290.99,288.21,290.5,19938
20130503,294.77,292.1,294.75,16168
20130506,295.9,293.37,293.46,13348
20130507,293.38,289.88,289.93,17658
20130508,291.27,288.1,290.8,14130
20130509,294.41,292.36,292.69,8750
20130510,291.98,288.68,291.8,6368
20130513,288.13,285.6,286.05,15264
20130514,289.13,287.36,287.42,10098
20130515,286,282.43,282.7,8478
20130516,281.2,275.69,279.22,16
20130517,279.11,276.83,279.11,16
20130520,270.5,268.7,270.49,14
20130521,281.2,278.98,281.03,18
20130522,281.2,278.98,280.4,18
20130523,278,278,278,2
20130524,280.08,278.81,278.82,14
20130527,280.6,279.23,279.97,18
20130528,280.6,279.23,279.76,18
20130529,278.84,278.84,278.84,2
20130530,282.3,279.91,282.3,14
20130531,284.88,283.78,283.96,6
20130603,279.61,279.61,279.61,2
20130604,283.42,281.62,281.62,8
20130605,281.53,281.01,281.53,4
20130606,281.53,281.01,280.64,4
20130607,282.64,282.16,282.16,4
20130613,280.06,278.72,278.72,8
20130614,280.06,278.72,274.47,8
20130617,280.82,276.94,278.93,10
20130618,279.09,276.14,276.14,12
20130619,274,273.9,274,4
20130620,269.64,269.16,269.52,8
20130621,260.12,256,259.99,38
20130624,259.8,259.8,259.8,8
20130625,258.75,257.7,257.7,20
20130626,254.6,250.45,251.25,36
20130627,251.4,251,251.4,8
20130628,245.7,242.2,244.2,32
20130701,253.25,251.15,253.25,20
20130702,256.55,255.5,256.55,40
20130703,254,253.1,254,20
20130704,254.65,254.65,254.65,6
20130705,252.4,252.05,252.05,4
20130708,248.3,245.2,246.9,94
20130709,254.85,249.1,254.85,52
20130710,253.55,251.2,251.85,14
20130711,262.4,257.45,262.4,14
20130712,259.85,259.7,259.7,8
20130715,260.25,258.7,259.9,36
20130716,258.15,257.55,257.55,8
20130717,260.05,258.45,258.45,50
20130718,257.8,255.4,256.1,66
20130719,259.1,256.95,258.75,32
20130722,263.95,260,263.6,80
20130723,266.7,264.05,265.35,84
20130724,267.25,265.3,267.2,20
20130725,263.9,263.2,263.55,16
